,YID,label
156,4Op6ym08emA,Happy
157,1XLIOmF4a54,Sad
158,jXrQndWh9n0,Scary
159,FXjmu596Z6k,Sad
160,1v12sVscMyQ,Scary
161,GkYsd0jMMqk,Happy
162,XmaKUTi9cG8,Sad
163,HgemMetVPP4,Sad
164,B1sxcQ3WOS0,Happy
165,6OrEwfVnXwg,Angry
167,26ErYVhYVU4,Angry
168,h80f_HJFhig,Angry
170,7Pg49RNunE4,Angry
172,-ovcLd9H21w,Sad
173,VpzWg42PyTQ,Happy
174,NUbc7mcWHMU,Scary
175,xb76D1tc8Mw,Scary
176,V7-67Liatag,Happy
178,8EJDQWzNQco,Sad
181,jV2TL_a_iJk,Funny
182,ypeCO6dJ0FI,Angry
183,QPUUVq8Dkpc,Scary
185,K8iyYA01aa8,Sad
186,h7CDbKXfpZs,Sad
187,ihSkSvFRa2o,Funny
188,_xdxyfUvKBo,Angry
189,9hA71h3cLeE,Happy
190,jZxwInGlfeo,Happy
191,rgzVRA673eE,Happy
193,y6om7S_e3U4,Funny
194,JtACqrcjfvg,Sad
197,WQ43Wqs1-Nw,Sad
198,FDPgRqIRCvg,Scary
199,oRz2NDKrSu8,Sad
200,kINDPXYzCcM,Sad
201,7DCHpoUfrGY,Sad
202,JQxGh8LfijI,Happy
205,DX7QMBONX8M,Angry
206,mtU470r2w7M,Angry
207,mf1Ps_DWdvA,Funny
208,jDxslhfDsUk,Sad
209,TeLuIlKMNf4,Angry
211,YcAdsxzAEco,Scary
212,BkTzunoQvRM,Sad
213,O-nZMHd-05k,Happy
214,iv7h5gEl-EM,Sad
215,7ivDhCfiP14,Sad
217,4hrQWCKNa_4,Happy
218,OY9U2BTPu2I,Scary
219,Pt24zcUtESk,Sad
221,B6yNn2vKCCk,Sad
222,ECXFnImt3UQ,Funny
223,3km97q4peeY,Sad
224,ZLRoWzdzQZI,Scary
225,GRU6o0x1mzA,Angry
227,Osi4ZSE7UnQ,Scary
229,HCbhLXjI0tI,Sad
230,3S9EoS4SvfU,Sad
231,vc83xlqQeRk,Happy
232,32C6w8V7TX8,Happy
234,_b_Owp-A58U,Sad
235,CX4pU1HQmxA,Angry
236,smU92Nu0FmY,Scary
239,BH6bd9JVwtM,Happy
240,T9iQsL54oRs,Angry
241,wHK5pJVnYq0,Happy
242,LMGpKPavV4Q,Angry
243,ABXx5AJD3Ok,Scary
244,GIDkmIrGyFU,Sad
245,qKkM1ktgeKU,Sad
246,zVNKgw-Jdxo,Sad
248,TdHdD1wxu_0,Sad
249,TTCZUSLbE-g,Scary
251,BpYRH3lQv9E,Angry
252,0qV2vv330Mk,Sad
253,LHz6gxo6Kls,Sad
254,ccISM6F8JCY,Scary
257,HP_srag0OPQ,Angry
258,5ZpVhmhVYoI,Happy
260,GMNarDXvQYo,Funny
261,ehl1dCF3cuA,Sad
263,IupsHYsXHB4,Scary
266,ZQpQXSYKKds,Funny
268,33NT_cSHUy8,Happy
269,Cf1zNtZEcc8,Scary
277,z4InRHlwpJY,Sad
279,k1oWVD4_HWw,Scary
280,z7ChNNY8Cck,Sad
282,nLcWejmdS6A,Sad
283,LOGKNF7JbV8,Sad
285,GAohd8KvONo,Scary
286,zUrDm5M9t64,Sad
289,Hcq8YUOnqTs,Scary
292,goucMlD30o0,Sad
294,0sfVo3sfRjs,Happy
296,DelpUEFRFg0,Angry
297,0khKvVDyYV4,Happy
298,Yu3yG52cDsI,Scary
299,2TolAEjEuDo,Funny
300,EremEyLrdUY,Happy
305,CkSHeJJtdqA,Scary
306,AGthOQmic3Y,Angry
308,7Y0t6INp-PA,Funny
309,OSs0AajbAwk,Scary
311,7MtNmu_l7c4,Happy
313,g_knB_cFfWI,Sad
314,5S_yCdCZhVM,Sad
316,QqEyDz44a4M,Happy
317,4YfpS-OPqm4,Sad
318,3f67sIFe5iA,Happy
319,8m_JpAtoWrs,Angry
320,DFt2GW-tIsQ,Sad
321,r6KskDmkKpU,Happy
323,3wDL1YuRdss,Angry
324,bYVuWtODri4,Sad
325,pRjMreXkB7E,Sad
326,2vq9nOnhZdU,Funny
327,1zNOjtzOhWQ,Sad
328,NJGo2fmUAII,Angry
329,jZheC-QSPRU,Scary
331,t7zWSM1UP58,Angry
335,AWs-bdq47aw,Sad
336,8WnXfe3ud4E,Angry
339,YBPY2GxDagE,Happy
340,G5seZqO8lpw,Happy
341,C6tMU0B8Ops,Angry
343,26Vq395RFRA,Sad
344,wt1h0bZQBqo,Happy
349,D8sbG3L6Xug,Happy
355,afwb-1t1PAU,Happy
356,1FhDPSsqfc4,Sad
357,neBGLxnZph8,Scary
361,4NSf3NPd_1g,Funny
365,ihK6UWDQO1A,Happy
368,-L2BY3G33C0,Sad
370,2QZR-PCEXrY,Happy
372,0abpvTgLtVo,Happy
375,si8hGvv_B5M,Scary
376,C_nyf74AAmk,Angry
379,6c_5Sn3D6BE,Angry
380,2csY90CBigQ,Sad
381,UMQghyhSAQA,Sad
382,-TsXiRf_pEA,Scary
384,ELNUIG4rgao,Angry
385,N2kFt5qOPCI,Scary
386,DUr2LA-aE_c,Angry
387,0CxbHAPqz5I,Sad
388,RDzt2cpj8Do,Scary
389,97dQz4RU5H8,Happy
390,4OCMc6KrqSY,Angry
391,z_Xz5s8HaX8,Scary
392,LggnaBS0vXQ,Angry
393,DG1oVwKG1Mc,Happy
395,CltSKxJiAk0,Scary
398,WEYu4kamEoc,Funny
399,0T75taZY-90,Funny
400,JleGSVNnO18,Funny
401,iW2I0E-dhhk,Sad
402,zE_oeDlUKT4,Scary
403,663GY6lcRnA,Happy
404,nmTBp3F6rWY,Scary
406,0FC49Vn7DTo,Happy
408,yZGtscscjBg,Happy
409,-YmVXSKJ6Xs,Sad
411,1svLOlsgm5E,Funny
412,euOpQxi1mic,Scary
413,NbXzlmb-ir8,Sad
415,dggIIEWCe-s,Scary
417,-Fzm2O4Zt-k,Funny
418,lmrzR9cSMRY,Sad
419,-ZlSNtkn5V0,Angry
420,DWmG-Ptdn78,Sad
422,2X_aLYuPH3Q,Scary
423,9H_W1LeMjxI,Angry
424,PpjT_GwbZMo,Sad
425,2fDNKTI9il4,Scary
426,GM4SbjsAAVA,Scary
427,IjggY6KkklA,Angry
428,pa4fpzHYv1w,Happy
429,tJWduBZRJkE,Scary
430,yecyuvKM_0w,Happy
432,-0tUgm2_vRc,Funny
434,i3zVLEAUcL8,Sad
438,8e9Cf8Pllfk,Scary
439,0T-YYkOHL78,Scary
442,2MVe7flqggc,Happy
443,-a1VIIn8SSQ,Funny
444,2OW2zJEi8SE,Scary
445,MdsRmMxkF4k,Scary
447,aUHvHYmuQeo,Sad
448,g6EbBacA7MI,Funny
449,Ijs84BHW6u8,Funny
450,SfKnINeyPAU,Angry
452,1BybEibdV7E,Happy
454,5Xy8-XwE_8c,Scary
456,wkZ4Gtu1CzY,Scary
458,1b6twrgtgKc,Scary
459,HRW3-NFhUdk,Funny
460,gGiVeVadYgg,Funny
463,JfkOUv67n1k,Scary
464,nt2rvdC75uY,Happy
467,0j8RGdyncbY,Happy
468,AdigB79Ij64,Happy
470,3KmiD1q5Ze0,Scary
471,gPN2CbnMBmI,Funny
472,xBg89BkMCms,Scary
473,IDT43OIjwHQ,Sad
474,CLiBLrcOUR0,Scary
475,xlxxWFENWr8,Scary
476,c2tcubfEuak,Happy
477,W_618EI2NTU,Sad
479,zWrE-9_25qo,Angry
480,5XQvNC9Jyyk,Funny
483,RxlaFDO_DvM,Scary
484,nlsspqJCJ1A,Scary
485,oOLBzKgRJHA,Sad
486,_7YrZ095hac,Happy
487,Z_oop8m0T0o,Scary
489,xhZRtsDVeJo,Happy
491,6WjmVFiTE6U,Sad
492,XZFmPaWQD6Y,Scary
493,npWyLFyJ-Fc,Funny
495,0DuCxFQrpmI,Scary
497,B4YJRBShMKM,Angry
498,w1-v90YEO70,Funny
500,19E_3mktxy8,Happy
501,XhafYi7VRNI,Angry
502,J7E8LF6fM5g,Scary
503,0JoY0RH7KMY,Happy
504,8S2EiXO3FG8,Funny
506,3Q0UK0aRQqM,Sad
507,_1jXPjerS3c,Angry
509,mHE2cIymV08,Happy
512,X3TJl84UgMw,Scary
514,kU1Y2eSDNuI,Scary
517,H2jAnuNt-QM,Scary
518,kV5wzwEo4_0,Sad
521,wBha6uFo9xA,Funny
523,NSenhqqU40Q,Sad
524,ARgRP6HDfis,Happy
526,TuLYX5r0YBI,Angry
527,6U1GeownVWw,Scary
528,qRu5T8rhFE8,Happy
529,J6lrdGbVeok,Scary
530,M12hb15W5cw,Scary
531,M_HOj_d6xQc,Funny
532,MCNj8JQ27b4,Scary
534,rU0rbpRhE6Y,Scary
536,_agYejnNkRY,Happy
537,0zH2SyqP8QU,Sad
538,-hRhgb9uVJY,Happy
540,6owySPRHiyM,Angry
541,GCU-eIXT3ko,Happy
542,mU8r9J3LKzQ,Angry
546,M0q_0-DX098,Funny
549,50J2UdYcG3o,Happy
555,tdIW_bseaXY,Sad
556,XPdbBY18ZPs,Happy
557,spEsV9-Q8OY,Funny
561,6k03Awjo0Pk,Scary
566,Buf1uDFYSXk,Scary
567,2dzVovzd0pA,Happy
568,ov901lTkwfs,Funny
569,2sRO5cGo5Rc,Funny
571,VMDaD0_uXa0,Scary
572,pghXltboUDE,Happy
573,ibIwOO5n_6k,Funny
574,-eM3hPMCvN4,Scary
576,usDxqKDYgVc,Scary
578,U1ll83Wf_Js,Sad
581,Qsakus11dHQ,Funny
582,CyZS5Mcocu0,Funny
583,4VUsspPaxWQ,Scary
584,fm5KjIstsMU,Sad
586,DGDVrJBV35k,Funny
587,5Sx3jOE_pBs,Funny
589,hrQ9u-uOoeI,Funny
591,WXAzTi2ZFUU,Sad
592,WkPddnJ_DHA,Funny
594,k_X_qCXFl7Q,Funny
595,m4tMdNrYlUk,Sad
596,B9w01p2I5h4,Sad
597,cGHvqB9V7us,Scary
599,RBDKGg-qip4,Scary
601,NNyQlX59jfw,Angry
603,jSq85jaXdzE,Happy
605,21SBiEoT9bc,Scary
606,mi5DEm888zY,Sad
607,dQSU_D0b4WE,Funny
608,Ataja5Oi1UY,Sad
609,57I20gtkqmI,Happy
610,dnwKaWxXfE0,Scary
611,2nt8CXwMTII,Angry
612,ef8tKgEMqxU,Sad
613,ys8K8ZzyeeY,Scary
614,16F5fdORzSo,Sad
615,tgI6pGaKWAw,Happy
616,z0WQZoSYRrY,Angry
619,qOqEK7-eJ_A,Funny
620,PKBogsGvb7I,Angry
621,VyZzVcnlT3A,Angry
622,tF1J67jEmZY,Scary
623,jbxGca9CHos,Happy
624,R4UlBvZJLTw,Funny
625,2kxNFFcS1_k,Scary
626,0K55wwPK5M4,Sad
627,9_5yql6qPA8,Funny
628,0_63yO9l2pA,Funny
629,AxUcFnjykPc,Scary
630,TpjjbwGGMcc,Funny
631,darQBSIlol8,Scary
632,eSVXqfkSCLs,Scary
633,ORvVfDU2MtI,Sad
635,6CaRDrhvWto,Scary
638,miSTvq7cnB8,Angry
640,YRnFQMybTUQ,Happy
641,nrl4_xbIJ_g,Funny
643,Wh2gvSc8rls,Sad
644,RWLt8FjNbYE,Happy
645,rOn6IPrdXUo,Happy
646,-hMAhp9kqMo,Sad
647,UT3YBDgI5QY,Angry
648,9ESqb2oAqlw,Angry
650,fLMfDyGil5c,Angry
653,4bVvH1JNrZ0,Sad
654,-gsW4JwO_8E,Sad
658,BBUK35ViCIE,Funny
659,479RcLC-kxE,Sad
660,-o0ZtQIkM60,Scary
661,CFZ1klaAuLA,Scary
662,-KO9pQiU1_I,Happy
663,52qVl4Kxxuw,Funny
664,bSzXdP1JDvY,Angry
665,m1XdpDlKJCQ,Scary
666,ubQpDVJ0JLU,Happy
667,2jd6c-PMJ6k,Angry
668,4pilbXcHSc0,Funny
670,nHkduAfDzkg,Happy
671,9MX842-iIuU,Happy
672,EBe9FYGL0pk,Scary
674,QpDavm3wJeo,Funny
675,1Fhx4OGLaqw,Sad
676,Jp_NBXkiq2M,Funny
677,ATCO5I2WxKA,Scary
680,xjGL7W55Ydw,Sad
684,0VNXzM_0Dnk,Sad
689,r8nWPk3CFWQ,Funny
691,NNPkW-u8Lkg,Funny
692,6yjO4jML2_s,Scary
694,p9EX2IOvjKo,Sad
695,wTMi-8PuMu8,Angry
696,BezURc8SSsA,Sad
697,kiWjSI_SusI,Scary
698,Rsuf8u_Ov2E,Funny
699,0ZROtM3Z1sw,Sad
701,1EGFBz8AtIg,Scary
704,Ri4ca5fFC54,Scary
707,fWaaidKzU90,Funny
708,-wj357iAcFw,Scary
710,9bir9yPR6qI,Scary
712,SV8gg09Yolo,Scary
713,dAmASOGj3ds,Funny
715,XYO4Ouw305A,Angry
716,rTYw9OEqBo4,Funny
717,B5UEPmYtwoc,Scary
719,q5gw6u8QOJ8,Angry
722,3c9FcFJ0Kmg,Happy
723,DM7RIUgYIoU,Sad
724,rV7RNGcyt54,Scary
725,ueKwo5REHl8,Sad
726,143UUQxCwWQ,Scary
728,z7eehYHngQI,Funny
729,yqA9cQy62Q0,Scary
731,jDUcTdF5Rb8,Angry
732,4n5ykX2OpJY,Funny
734,f7PxELZh6dw,Happy
736,xdK6t6B5zyw,Sad
738,J6CscK1VYTk,Funny
741,iXXpETTjxNw,Happy
742,naVUjcd39Eo,Scary
743,cwMwS6NSp3c,Happy
745,Nuks8XFdGMk,Scary
747,EelErfXgAtA,Angry
748,096aIn8Ct4M,Happy
749,CMalY-VSn0g,Sad
750,IYeekRidKdA,Angry
751,akWqX6f2NvQ,Happy
754,xQVXr-8UY68,Funny
755,2J5_33p37fA,Sad
756,vl3zAW9MRiQ,Happy
758,0ZkzugzrAgk,Angry
761,1T_RvtxV_Qk,Sad
762,KGIaPsODw9w,Funny
763,ZAYijJ0No8U,Happy
764,1fvaVH3V6n8,Happy
767,XTC1ZhJb0Qs,Sad
768,Drxw-UCM9yA,Sad
770,pPzdQBMQAc0,Happy
771,1ITBoe-smAg,Scary
772,xr7gpLlchjQ,Funny
775,8APuzVsKz5g,Angry
777,5Ofr9Xye4Rc,Angry
778,K2YHkMOeBag,Happy
780,YVg-WmP7Vzs,Scary
783,BBrhhFWv0h4,Happy
785,ebpu0axYrQo,Scary
786,_hu5htnp1yw,Sad
789,XqnKI7DPcgE,Sad
790,c0fUVpfthCA,Sad
793,hsdgwa3G91A,Scary
794,MfPbkRpLvcI,Scary
796,ILzk9VCDC_g,Happy
799,3VAdO56K-Mg,Funny
801,EYDK7d044tY,Funny
802,Rc4VOTrndQs,Sad
803,dj5ZweRrvtU,Sad
805,XSY3XWdEPcY,Scary
806,7zWdkggDHg0,Sad
808,m6XtxKnLSiU,Angry
809,HfCYSXQdWxo,Angry
810,9VEwNgl_LK8,Funny
811,MgfJRt4YWBg,Angry
812,-V1XygmSRgk,Angry
814,8rYQeq3o2Fc,Sad
815,mwwnfWgV_5U,Angry
818,YZW04Hw93jQ,Scary
819,yJdTcP0ouxc,Sad
821,u7KlAVzrpxM,Funny
822,LrNDHVMIQ1A,Happy
823,0hI587RuS1w,Happy
824,yR4FB_fhIbg,Happy
825,KJdabiWL9Lk,Sad
826,rNinZ55Gi4I,Happy
827,-rZ28KjecoQ,Happy
829,Wgt4xGjh4Bw,Sad
830,nwH0GSg5sRA,Sad
831,4jG6aL-V1So,Scary
834,4HhJneiP-hY,Scary
836,qO7uv0tT0nE,Scary
839,0xpUUA1R5ow,Funny
840,FmgJQ-rvZGE,Scary
841,yUfTkDusukg,Sad
843,giPa2vVEyVc,Sad
845,Uwh0-pzhtEs,Sad
847,AQYcDqX942o,Funny
848,1WBzvyay3LE,Angry
849,OmrM-_Nx_gU,Scary
850,Hl_xlru36zA,Sad
851,WH9zYwTkE_Y,Angry
853,jjg0TCq3wbY,Sad
855,dgG87FIoGT8,Sad
856,ndHTMXCf_D8,Angry
857,qNSlhfQiLm0,Sad
860,rxcZ9ulytqg,Sad
861,RJl-X_GKEK0,Sad
863,RZJYLrgRAMw,Sad
864,Pl81WvFIEsY,Scary
865,977gktKZYhA,Funny
866,FpjC4sfBY3w,Sad
867,Vfe0wJLhfHc,Funny
868,5cctB0haiFI,Sad
870,2WkMKo8Jk1A,Funny
872,tObGVO5Y2S0,Funny
873,YihryH-WJyI,Angry
874,NAEriKozxOs,Happy
875,Q3a0x94pcMQ,Sad
876,8DadSS-PFko,Sad
877,DWUMNQStieQ,Sad
878,4lLLTPEbrVw,Scary
880,6jBFu9c40jM,Sad
881,XgdrF7XJGIk,Funny
883,G2FgbZPN9s0,Angry
885,71iiFe5b8Gw,Happy
886,rQMjvh6sgRA,Angry
887,tSBpt7fMJYo,Angry
889,A3vatEwywt0,Sad
890,YFB10fwe5U4,Happy
891,RCKUfloksr4,Funny
896,S3mmjryFIeQ,Happy
897,AqWaJnIm_YQ,Sad
898,SrFwfwTP36E,Scary
899,G4p8Lp-F9ig,Scary
902,SaNuLjPalRU,Scary
903,ORYFqV3z5DU,Scary
904,wL8DNHVuQyc,Angry
905,-ShiLnubDqw,Happy
909,99H2quVb_1I,Sad
911,pZyjfOzNTi0,Happy
913,V3p02GiiS8E,Funny
914,TFLt7mn57ZI,Happy
915,Q7-OYUDbOxQ,Sad
916,3JA_8dDYmKg,Scary
917,B2FxUpoyacI,Happy
920,KQLWAdLhJLQ,Scary
922,Iau6tz5NUMY,Funny
924,3hxyRI70tmU,Funny
925,20PPw5oxu4o,Funny
926,jcN3TLIGfzw,Sad
928,uQ_oKzI3s30,Happy
929,bUF1ZaMqKBE,Sad
932,S4CEe6GZocY,Sad
933,gBVh23woXe4,Sad
934,483mDLRP0k4,Happy
935,KLXL0iVo1Ts,Happy
936,6zq7_xW5khk,Scary
938,mV0rQGPcM2U,Funny
939,rGEJVUcFA2U,Happy
941,22l03_1HViY,Happy
942,pwpGRnEATJA,Sad
945,YAJ7CMHNRXA,Angry
947,alIauW4arNY,Funny
949,-fpoZJkF1L4,Scary
950,KDwlT9foU7Y,Angry
951,YB28WMv7wUE,Scary
953,oCpJ4WZofGE,Funny
954,EAk6bK9ZUUA,Angry
957,saOErpuNffE,Funny
958,z8ukmWw-LJg,Happy
959,4GVycVTJMBo,Funny
960,IEyG7CJOpT0,Funny
961,1Ig4SV_qcHQ,Scary
962,fzJ58xVW99A,Sad
964,3chHTj6POPg,Sad
965,S-nQOS09p4M,Happy
966,kdsx5WczYkY,Funny
967,-O8N9ADEJVM,Sad
968,aTXDvGiz_OY,Happy
974,qn8kNA85RFY,Angry
977,dakJh2CdT9Q,Scary
979,WsWnNslMu_U,Scary
980,w6zHc6nRJ0o,Angry
981,dTa5stABtNs,Scary
982,lqXYvU4yI8s,Sad
983,juX3yVftcGk,Sad
984,bcEZ4-YEUDc,Angry
986,0nsE_bXQTnQ,Sad
987,PkuEOK61vqs,Sad
989,07HYqx9CFvo,Happy
990,WAqc5s9pXeY,Angry
991,FcfjvmIoC7A,Happy
994,0O91q7E6qNs,Sad
995,yvtDq60gjNY,Sad
998,QZSRZG0AsiA,Funny
1000,B6dDasMV-hA,Scary
1002,y6pUr9oFUyU,Angry
1003,OJctI_Whf0w,Sad
1004,wbMkqcvxolM,Sad
1005,AqmgfpJzLkY,Scary
1006,fqT1PnXZfF0,Scary
1009,LjaguEKjhgQ,Angry
1010,Ul8sZ4QYHlQ,Happy
1012,EPn-_Sub7vc,Funny
1015,9GTri6_BqPA,Funny
1016,51EFo9Mv50g,Scary
1018,ToMNiLWokNs,Scary
1021,IZgHGRzy2rI,Happy
1022,2gSsOAU98oY,Happy
1023,KI7bwbqslrM,Happy
1024,go_7i6WvfeE,Angry
1025,0xjcAz_4oHg,Funny
1026,EIsBl1O_ikE,Scary
1028,7W5QFpAWj4k,Scary
1029,2FteYue0zwM,Scary
1031,DH1nLyn5hEQ,Sad
1032,YRfNEbv-Z3A,Scary
1033,EOAqKPVTgms,Scary
1034,UzDVZzIIcy8,Sad
1036,-m8sjQkZ58o,Scary
1037,gDMPdxRpTEo,Angry
1038,OKf8o5ewtJA,Funny
1039,eJBf_-0wO7U,Funny
1041,I6fF0Vg6hzo,Angry
1042,alZ7PQko_G8,Funny
1044,s6I-fbVXjyM,Funny
1048,FqLjIkOKnjg,Scary
1049,PTCsH-ffeq4,Scary
1050,_ZfUGC184SM,Angry
1051,00B3HMmjktI,Angry
1054,mzNzgcTi4l0,Angry
1055,Ad0vyNGeKHE,Happy
1056,f_M2InkAoBI,Scary
1057,Lk7j1mXHwIs,Happy
1059,BG5iajDe7Uw,Scary
1060,l4nbv1p9ULc,Sad
1061,p1ShcQPiNTQ,Funny
1062,JOsj7mrjTL8,Funny
1063,IuzptCzZsno,Happy
1064,gN-YPCmzCts,Scary
1065,D5-_1Za9vb4,Angry
1066,BTg6utTK1TQ,Funny
1069,n9PwjIos0yA,Sad
1071,nf_EOb6GpRA,Happy
1072,O1oOgCA6Wxo,Sad
1076,-mJNeYwKSJU,Happy
1077,verfkYZUwDI,Scary
1079,qMg-8rzAwB4,Scary
1080,5waSmDjYxPY,Funny
1081,4hDRF8TuFic,Angry
1084,Bm_JG8GVcbs,Funny
1085,eQHQWb6FCio,Happy
1088,9A8YVhkJJ28,Angry
1091,9b6Ui4-ngRo,Angry
1092,2JRkQw9AJ1w,Happy
1093,1RB-fxDq5Co,Sad
1094,mbzA4ieO9s0,Scary
1095,Xr8nS75GfaU,Happy
1096,3nhl93xQmks,Sad
1098,TWfeaccy68s,Angry
1104,vZXIO4sIwzc,Scary
1108,0A4AM6WlICk,Scary
1110,uYM_c0UnyME,Sad
1111,0sGAobemwd8,Funny
1113,4UfqXg7ZkLo,Funny
1114,oWeJBosfsFA,Angry
1117,T6d9VEoWAdM,Scary
1122,vpg4nOBVRD4,Sad
1123,2M-CFCo-rkY,Sad
1124,V4ZNCzQo_gs,Scary
1125,G9zTPnst33s,Happy
1126,kUTJ7vpzKNU,Sad
1127,jKzZp0gjL-c,Scary
1128,j_Jlq-7JzOM,Angry
1129,MNo9bhBj7kc,Sad
1130,2tISxVQbBa4,Funny
1131,3d7tqNozhTw,Scary
1132,04DOMfrOM28,Happy
1133,NY_lntMCmBk,Scary
1134,JbzgmNSyQE0,Funny
1135,A_n4I6amrQU,Angry
1138,JSa3g6zKf3M,Scary
1139,YACVjQEX_-A,Scary
1141,bU0F2q3UWfY,Funny
1142,9DA2A9vS15I,Happy
1144,A40aIeSbr2Y,Happy
1145,nBSMh7pgn2o,Happy
1146,27jnSL8GIcs,Happy
1147,4DrXPEIU7ls,Scary
1148,WxJMJQLbweI,Sad
1149,-8zibVda-Bg,Angry
1150,HeePhjnGjEs,Sad
1152,zIOnuO702AU,Happy
1154,gicqooNL7yI,Scary
1155,1YPYQP6yupA,Sad
1156,iOTZ_UHiIMc,Sad
1157,758Un3WBgLs,Happy
1158,-WpxhCG2Hss,Sad
1162,6FKfxeBxAmM,Angry
1165,Cy3HWnwMLyI,Scary
1167,lkSYK_MLCv8,Funny
1169,hUFo0FVWjds,Funny
1172,0298WjE3_tk,Angry
1175,0BLuV3MA0qU,Funny
1177,AV8w-7w0cQg,Scary
1178,3Uag9un4rc0,Angry
1179,vukqoE_h6ic,Angry
1180,bBnw5YF61U8,Angry
1181,E65PoMNKpqw,Funny
1183,dFBiTKyxq3o,Sad
1184,hFP1z-1Ck6U,Sad
1185,4IVlF6UleyQ,Happy
1186,NkerP5ni7pE,Scary
1187,Iog_W_VjJko,Scary
1188,WxVbzsNKMoE,Sad
1189,bGK-SP4fI2U,Scary
1190,EeKVLEvpEpo,Angry
1192,05ZnX4gpcTU,Happy
1193,vfsRdOYR3TY,Angry
1194,eJogZRfnpuc,Scary
1198,I3lRfSzQtrM,Sad
1199,Jdbq_W11Wuw,Scary
1200,fnxKrzbH5JQ,Angry
1202,Yl-lWPPEF5k,Funny
1204,fp6CCYdHfA4,Happy
1205,3Bqu2Y8RZq4,Happy
1206,LyTD_2NA5Pc,Sad
1208,NGB04jNtYjc,Sad
1209,tvoyw7Pq9Xg,Scary
1211,ER0yacYOvU0,Sad
1212,8CkOFi2kqTM,Happy
1215,v5AaJRBapHA,Scary
1217,0WH9ssFZctA,Funny
1218,jN_Pyzj6v6M,Happy
1220,VDQ6VJsJhHg,Scary
1223,557G5YW_1SA,Happy
