YID,label
GMNarDXvQYo,Funny
ehl1dCF3cuA,Sad
IupsHYsXHB4,Scary
ZQpQXSYKKds,Funny
33NT_cSHUy8,Happy
Cf1zNtZEcc8,Scary
z4InRHlwpJY,Sad
k1oWVD4_HWw,Scary
z7ChNNY8Cck,Sad
nLcWejmdS6A,Sad
LOGKNF7JbV8,Sad
GAohd8KvONo,Scary
zUrDm5M9t64,Sad
Hcq8YUOnqTs,Scary
goucMlD30o0,Sad
0sfVo3sfRjs,Happy
DelpUEFRFg0,Angry
0khKvVDyYV4,Happy
Yu3yG52cDsI,Scary
2TolAEjEuDo,Funny
EremEyLrdUY,Happy
CkSHeJJtdqA,Scary
AGthOQmic3Y,Angry
7Y0t6INp-PA,Funny
OSs0AajbAwk,Scary
7MtNmu_l7c4,Happy
g_knB_cFfWI,Sad
5S_yCdCZhVM,Sad
QqEyDz44a4M,Happy
4YfpS-OPqm4,Sad
3f67sIFe5iA,Happy
8m_JpAtoWrs,Angry
DFt2GW-tIsQ,Sad
r6KskDmkKpU,Happy
3wDL1YuRdss,Angry
bYVuWtODri4,Sad
pRjMreXkB7E,Sad
2vq9nOnhZdU,Funny
1zNOjtzOhWQ,Sad
NJGo2fmUAII,Angry
jZheC-QSPRU,Scary
t7zWSM1UP58,Angry
AWs-bdq47aw,Sad
8WnXfe3ud4E,Angry
YBPY2GxDagE,Happy
G5seZqO8lpw,Happy
C6tMU0B8Ops,Angry
26Vq395RFRA,Sad
wt1h0bZQBqo,Happy
D8sbG3L6Xug,Happy
afwb-1t1PAU,Happy
1FhDPSsqfc4,Sad
neBGLxnZph8,Scary
4NSf3NPd_1g,Funny
ihK6UWDQO1A,Happy
-L2BY3G33C0,Sad
2QZR-PCEXrY,Happy
0abpvTgLtVo,Happy
si8hGvv_B5M,Scary
C_nyf74AAmk,Angry
6c_5Sn3D6BE,Angry
2csY90CBigQ,Sad
UMQghyhSAQA,Sad
-TsXiRf_pEA,Scary
ELNUIG4rgao,Angry
N2kFt5qOPCI,Scary
DUr2LA-aE_c,Angry
0CxbHAPqz5I,Sad
RDzt2cpj8Do,Scary
97dQz4RU5H8,Happy
4OCMc6KrqSY,Angry
z_Xz5s8HaX8,Scary
LggnaBS0vXQ,Angry
DG1oVwKG1Mc,Happy
CltSKxJiAk0,Scary
WEYu4kamEoc,Funny
0T75taZY-90,Funny
JleGSVNnO18,Funny
iW2I0E-dhhk,Sad
zE_oeDlUKT4,Scary
663GY6lcRnA,Happy
nmTBp3F6rWY,Scary
0FC49Vn7DTo,Happy
yZGtscscjBg,Happy
-YmVXSKJ6Xs,Sad
1svLOlsgm5E,Funny
euOpQxi1mic,Scary
NbXzlmb-ir8,Sad
dggIIEWCe-s,Scary
-Fzm2O4Zt-k,Funny
lmrzR9cSMRY,Sad
-ZlSNtkn5V0,Angry
DWmG-Ptdn78,Sad
2X_aLYuPH3Q,Scary
9H_W1LeMjxI,Angry
PpjT_GwbZMo,Sad
2fDNKTI9il4,Scary
GM4SbjsAAVA,Scary
IjggY6KkklA,Angry
pa4fpzHYv1w,Happy
tJWduBZRJkE,Scary
yecyuvKM_0w,Happy
-0tUgm2_vRc,Funny
i3zVLEAUcL8,Sad
8e9Cf8Pllfk,Scary
0T-YYkOHL78,Scary
2MVe7flqggc,Happy
-a1VIIn8SSQ,Funny
2OW2zJEi8SE,Scary
MdsRmMxkF4k,Scary
aUHvHYmuQeo,Sad
g6EbBacA7MI,Funny
Ijs84BHW6u8,Funny
SfKnINeyPAU,Angry
1BybEibdV7E,Happy
5Xy8-XwE_8c,Scary
wkZ4Gtu1CzY,Scary
1b6twrgtgKc,Scary
HRW3-NFhUdk,Funny
gGiVeVadYgg,Funny
JfkOUv67n1k,Scary
nt2rvdC75uY,Happy
0j8RGdyncbY,Happy
AdigB79Ij64,Happy
3KmiD1q5Ze0,Scary
gPN2CbnMBmI,Funny
xBg89BkMCms,Scary
IDT43OIjwHQ,Sad
CLiBLrcOUR0,Scary
xlxxWFENWr8,Scary
c2tcubfEuak,Happy
W_618EI2NTU,Sad
zWrE-9_25qo,Angry
5XQvNC9Jyyk,Funny
RxlaFDO_DvM,Scary
nlsspqJCJ1A,Scary
oOLBzKgRJHA,Sad
_7YrZ095hac,Happy
Z_oop8m0T0o,Scary
xhZRtsDVeJo,Happy
6WjmVFiTE6U,Sad
XZFmPaWQD6Y,Scary
npWyLFyJ-Fc,Funny
0DuCxFQrpmI,Scary
B4YJRBShMKM,Angry
w1-v90YEO70,Funny
19E_3mktxy8,Happy
XhafYi7VRNI,Angry
J7E8LF6fM5g,Scary
0JoY0RH7KMY,Happy
8S2EiXO3FG8,Funny
3Q0UK0aRQqM,Sad
_1jXPjerS3c,Angry
mHE2cIymV08,Happy
X3TJl84UgMw,Scary
kU1Y2eSDNuI,Scary
H2jAnuNt-QM,Scary
kV5wzwEo4_0,Sad
wBha6uFo9xA,Funny
NSenhqqU40Q,Sad
ARgRP6HDfis,Happy
TuLYX5r0YBI,Angry
6U1GeownVWw,Scary
qRu5T8rhFE8,Happy
J6lrdGbVeok,Scary
M12hb15W5cw,Scary
M_HOj_d6xQc,Funny
MCNj8JQ27b4,Scary
rU0rbpRhE6Y,Scary
_agYejnNkRY,Happy
0zH2SyqP8QU,Sad
-hRhgb9uVJY,Happy
6owySPRHiyM,Angry
GCU-eIXT3ko,Happy
mU8r9J3LKzQ,Angry
M0q_0-DX098,Funny
50J2UdYcG3o,Happy
tdIW_bseaXY,Sad
XPdbBY18ZPs,Happy
spEsV9-Q8OY,Funny
6k03Awjo0Pk,Scary
Buf1uDFYSXk,Scary
2dzVovzd0pA,Happy
ov901lTkwfs,Funny
2sRO5cGo5Rc,Funny
VMDaD0_uXa0,Scary
pghXltboUDE,Happy
ibIwOO5n_6k,Funny
-eM3hPMCvN4,Scary
usDxqKDYgVc,Scary
U1ll83Wf_Js,Sad
Qsakus11dHQ,Funny
CyZS5Mcocu0,Funny
4VUsspPaxWQ,Scary
fm5KjIstsMU,Sad
DGDVrJBV35k,Funny
5Sx3jOE_pBs,Funny
hrQ9u-uOoeI,Funny
WXAzTi2ZFUU,Sad
WkPddnJ_DHA,Funny
k_X_qCXFl7Q,Funny
m4tMdNrYlUk,Sad
B9w01p2I5h4,Sad
cGHvqB9V7us,Scary
RBDKGg-qip4,Scary
NNyQlX59jfw,Angry
jSq85jaXdzE,Happy
21SBiEoT9bc,Scary
mi5DEm888zY,Sad
dQSU_D0b4WE,Funny
Ataja5Oi1UY,Sad
57I20gtkqmI,Happy
dnwKaWxXfE0,Scary
2nt8CXwMTII,Angry
ef8tKgEMqxU,Sad
ys8K8ZzyeeY,Scary
16F5fdORzSo,Sad
tgI6pGaKWAw,Happy
z0WQZoSYRrY,Angry
qOqEK7-eJ_A,Funny
PKBogsGvb7I,Angry
VyZzVcnlT3A,Angry
tF1J67jEmZY,Scary
jbxGca9CHos,Happy
R4UlBvZJLTw,Funny
2kxNFFcS1_k,Scary
0K55wwPK5M4,Sad
9_5yql6qPA8,Funny
0_63yO9l2pA,Funny
AxUcFnjykPc,Scary
TpjjbwGGMcc,Funny
darQBSIlol8,Scary
eSVXqfkSCLs,Scary
ORvVfDU2MtI,Sad
6CaRDrhvWto,Scary
miSTvq7cnB8,Angry
YRnFQMybTUQ,Happy
nrl4_xbIJ_g,Funny
Wh2gvSc8rls,Sad
RWLt8FjNbYE,Happy
rOn6IPrdXUo,Happy
-hMAhp9kqMo,Sad
UT3YBDgI5QY,Angry
9ESqb2oAqlw,Angry
fLMfDyGil5c,Angry
4bVvH1JNrZ0,Sad
-gsW4JwO_8E,Sad
BBUK35ViCIE,Funny
479RcLC-kxE,Sad
-o0ZtQIkM60,Scary
CFZ1klaAuLA,Scary
-KO9pQiU1_I,Happy
52qVl4Kxxuw,Funny
bSzXdP1JDvY,Angry
m1XdpDlKJCQ,Scary
ubQpDVJ0JLU,Happy
2jd6c-PMJ6k,Angry
4pilbXcHSc0,Funny
nHkduAfDzkg,Happy
9MX842-iIuU,Happy
EBe9FYGL0pk,Scary
QpDavm3wJeo,Funny
1Fhx4OGLaqw,Sad
Jp_NBXkiq2M,Funny
ATCO5I2WxKA,Scary
xjGL7W55Ydw,Sad
0VNXzM_0Dnk,Sad
r8nWPk3CFWQ,Funny
NNPkW-u8Lkg,Funny
6yjO4jML2_s,Scary
p9EX2IOvjKo,Sad
wTMi-8PuMu8,Angry
BezURc8SSsA,Sad
kiWjSI_SusI,Scary
Rsuf8u_Ov2E,Funny
0ZROtM3Z1sw,Sad
1EGFBz8AtIg,Scary
Ri4ca5fFC54,Scary
fWaaidKzU90,Funny
-wj357iAcFw,Scary
9bir9yPR6qI,Scary
SV8gg09Yolo,Scary
dAmASOGj3ds,Funny
XYO4Ouw305A,Angry
rTYw9OEqBo4,Funny
B5UEPmYtwoc,Scary
q5gw6u8QOJ8,Angry
3c9FcFJ0Kmg,Happy
DM7RIUgYIoU,Sad
rV7RNGcyt54,Scary
ueKwo5REHl8,Sad
143UUQxCwWQ,Scary
z7eehYHngQI,Funny
yqA9cQy62Q0,Scary
jDUcTdF5Rb8,Angry
4n5ykX2OpJY,Funny
f7PxELZh6dw,Happy
xdK6t6B5zyw,Sad
J6CscK1VYTk,Funny
iXXpETTjxNw,Happy
naVUjcd39Eo,Scary
cwMwS6NSp3c,Happy
Nuks8XFdGMk,Scary
EelErfXgAtA,Angry
096aIn8Ct4M,Happy
CMalY-VSn0g,Sad
IYeekRidKdA,Angry
akWqX6f2NvQ,Happy
xQVXr-8UY68,Funny
2J5_33p37fA,Sad
vl3zAW9MRiQ,Happy
0ZkzugzrAgk,Angry
1T_RvtxV_Qk,Sad
KGIaPsODw9w,Funny
ZAYijJ0No8U,Happy
1fvaVH3V6n8,Happy
XTC1ZhJb0Qs,Sad
Drxw-UCM9yA,Sad
pPzdQBMQAc0,Happy
1ITBoe-smAg,Scary
xr7gpLlchjQ,Funny
8APuzVsKz5g,Angry
5Ofr9Xye4Rc,Angry
K2YHkMOeBag,Happy
YVg-WmP7Vzs,Scary
BBrhhFWv0h4,Happy
ebpu0axYrQo,Scary
_hu5htnp1yw,Sad
XqnKI7DPcgE,Sad
c0fUVpfthCA,Sad
hsdgwa3G91A,Scary
MfPbkRpLvcI,Scary
ILzk9VCDC_g,Happy
3VAdO56K-Mg,Funny
EYDK7d044tY,Funny
Rc4VOTrndQs,Sad
dj5ZweRrvtU,Sad
XSY3XWdEPcY,Scary
7zWdkggDHg0,Sad
m6XtxKnLSiU,Angry
HfCYSXQdWxo,Angry
9VEwNgl_LK8,Funny
MgfJRt4YWBg,Angry
-V1XygmSRgk,Angry
8rYQeq3o2Fc,Sad
mwwnfWgV_5U,Angry
YZW04Hw93jQ,Scary
yJdTcP0ouxc,Sad
u7KlAVzrpxM,Funny
LrNDHVMIQ1A,Happy
0hI587RuS1w,Happy
yR4FB_fhIbg,Happy
KJdabiWL9Lk,Sad
rNinZ55Gi4I,Happy
-rZ28KjecoQ,Happy
Wgt4xGjh4Bw,Sad
nwH0GSg5sRA,Sad
4jG6aL-V1So,Scary
4HhJneiP-hY,Scary
qO7uv0tT0nE,Scary
0xpUUA1R5ow,Funny
FmgJQ-rvZGE,Scary
yUfTkDusukg,Sad
giPa2vVEyVc,Sad
Uwh0-pzhtEs,Sad
AQYcDqX942o,Funny
1WBzvyay3LE,Angry
OmrM-_Nx_gU,Scary
Hl_xlru36zA,Sad
WH9zYwTkE_Y,Angry
jjg0TCq3wbY,Sad
dgG87FIoGT8,Sad
ndHTMXCf_D8,Angry
qNSlhfQiLm0,Sad
rxcZ9ulytqg,Sad
RJl-X_GKEK0,Sad
RZJYLrgRAMw,Sad
Pl81WvFIEsY,Scary
977gktKZYhA,Funny
FpjC4sfBY3w,Sad
Vfe0wJLhfHc,Funny
5cctB0haiFI,Sad
2WkMKo8Jk1A,Funny
tObGVO5Y2S0,Funny
YihryH-WJyI,Angry
NAEriKozxOs,Happy
Q3a0x94pcMQ,Sad
8DadSS-PFko,Sad
DWUMNQStieQ,Sad
4lLLTPEbrVw,Scary
6jBFu9c40jM,Sad
XgdrF7XJGIk,Funny
G2FgbZPN9s0,Angry
71iiFe5b8Gw,Happy
rQMjvh6sgRA,Angry
tSBpt7fMJYo,Angry
A3vatEwywt0,Sad
YFB10fwe5U4,Happy
RCKUfloksr4,Funny
S3mmjryFIeQ,Happy
AqWaJnIm_YQ,Sad
SrFwfwTP36E,Scary
G4p8Lp-F9ig,Scary
SaNuLjPalRU,Scary
ORYFqV3z5DU,Scary
wL8DNHVuQyc,Angry
-ShiLnubDqw,Happy
99H2quVb_1I,Sad
pZyjfOzNTi0,Happy
V3p02GiiS8E,Funny
TFLt7mn57ZI,Happy
Q7-OYUDbOxQ,Sad
3JA_8dDYmKg,Scary
B2FxUpoyacI,Happy
KQLWAdLhJLQ,Scary
Iau6tz5NUMY,Funny
3hxyRI70tmU,Funny
20PPw5oxu4o,Funny
jcN3TLIGfzw,Sad
uQ_oKzI3s30,Happy
bUF1ZaMqKBE,Sad
S4CEe6GZocY,Sad
gBVh23woXe4,Sad
483mDLRP0k4,Happy
KLXL0iVo1Ts,Happy
6zq7_xW5khk,Scary
mV0rQGPcM2U,Funny
rGEJVUcFA2U,Happy
22l03_1HViY,Happy
pwpGRnEATJA,Sad
YAJ7CMHNRXA,Angry
alIauW4arNY,Funny
-fpoZJkF1L4,Scary
KDwlT9foU7Y,Angry
YB28WMv7wUE,Scary
oCpJ4WZofGE,Funny
EAk6bK9ZUUA,Angry
saOErpuNffE,Funny
z8ukmWw-LJg,Happy
4GVycVTJMBo,Funny
IEyG7CJOpT0,Funny
1Ig4SV_qcHQ,Scary
fzJ58xVW99A,Sad
3chHTj6POPg,Sad
S-nQOS09p4M,Happy
kdsx5WczYkY,Funny
-O8N9ADEJVM,Sad
aTXDvGiz_OY,Happy
qn8kNA85RFY,Angry
dakJh2CdT9Q,Scary
WsWnNslMu_U,Scary
w6zHc6nRJ0o,Angry
dTa5stABtNs,Scary
lqXYvU4yI8s,Sad
juX3yVftcGk,Sad
bcEZ4-YEUDc,Angry
0nsE_bXQTnQ,Sad
PkuEOK61vqs,Sad
07HYqx9CFvo,Happy
WAqc5s9pXeY,Angry
FcfjvmIoC7A,Happy
0O91q7E6qNs,Sad
yvtDq60gjNY,Sad
QZSRZG0AsiA,Funny
B6dDasMV-hA,Scary
y6pUr9oFUyU,Angry
OJctI_Whf0w,Sad
wbMkqcvxolM,Sad
AqmgfpJzLkY,Scary
fqT1PnXZfF0,Scary
LjaguEKjhgQ,Angry
Ul8sZ4QYHlQ,Happy
EPn-_Sub7vc,Funny
9GTri6_BqPA,Funny
51EFo9Mv50g,Scary
ToMNiLWokNs,Scary
IZgHGRzy2rI,Happy
2gSsOAU98oY,Happy
KI7bwbqslrM,Happy
go_7i6WvfeE,Angry
0xjcAz_4oHg,Funny
EIsBl1O_ikE,Scary
7W5QFpAWj4k,Scary
2FteYue0zwM,Scary
DH1nLyn5hEQ,Sad
YRfNEbv-Z3A,Scary
EOAqKPVTgms,Scary
UzDVZzIIcy8,Sad
-m8sjQkZ58o,Scary
gDMPdxRpTEo,Angry
OKf8o5ewtJA,Funny
eJBf_-0wO7U,Funny
I6fF0Vg6hzo,Angry
alZ7PQko_G8,Funny
s6I-fbVXjyM,Funny
FqLjIkOKnjg,Scary
PTCsH-ffeq4,Scary
_ZfUGC184SM,Angry
00B3HMmjktI,Angry
mzNzgcTi4l0,Angry
Ad0vyNGeKHE,Happy
f_M2InkAoBI,Scary
Lk7j1mXHwIs,Happy
BG5iajDe7Uw,Scary
l4nbv1p9ULc,Sad
p1ShcQPiNTQ,Funny
JOsj7mrjTL8,Funny
IuzptCzZsno,Happy
gN-YPCmzCts,Scary
D5-_1Za9vb4,Angry
BTg6utTK1TQ,Funny
n9PwjIos0yA,Sad
nf_EOb6GpRA,Happy
O1oOgCA6Wxo,Sad
-mJNeYwKSJU,Happy
verfkYZUwDI,Scary
qMg-8rzAwB4,Scary
5waSmDjYxPY,Funny
4hDRF8TuFic,Angry
Bm_JG8GVcbs,Funny
eQHQWb6FCio,Happy
9A8YVhkJJ28,Angry
9b6Ui4-ngRo,Angry
2JRkQw9AJ1w,Happy
1RB-fxDq5Co,Sad
mbzA4ieO9s0,Scary
Xr8nS75GfaU,Happy
3nhl93xQmks,Sad
TWfeaccy68s,Angry
vZXIO4sIwzc,Scary
0A4AM6WlICk,Scary
uYM_c0UnyME,Sad
0sGAobemwd8,Funny
4UfqXg7ZkLo,Funny
oWeJBosfsFA,Angry
T6d9VEoWAdM,Scary
vpg4nOBVRD4,Sad
2M-CFCo-rkY,Sad
V4ZNCzQo_gs,Scary
G9zTPnst33s,Happy
kUTJ7vpzKNU,Sad
jKzZp0gjL-c,Scary
j_Jlq-7JzOM,Angry
MNo9bhBj7kc,Sad
2tISxVQbBa4,Funny
3d7tqNozhTw,Scary
04DOMfrOM28,Happy
NY_lntMCmBk,Scary
JbzgmNSyQE0,Funny
A_n4I6amrQU,Angry
JSa3g6zKf3M,Scary
YACVjQEX_-A,Scary
bU0F2q3UWfY,Funny
9DA2A9vS15I,Happy
A40aIeSbr2Y,Happy
nBSMh7pgn2o,Happy
27jnSL8GIcs,Happy
4DrXPEIU7ls,Scary
WxJMJQLbweI,Sad
-8zibVda-Bg,Angry
HeePhjnGjEs,Sad
zIOnuO702AU,Happy
gicqooNL7yI,Scary
1YPYQP6yupA,Sad
iOTZ_UHiIMc,Sad
758Un3WBgLs,Happy
-WpxhCG2Hss,Sad
6FKfxeBxAmM,Angry
Cy3HWnwMLyI,Scary
lkSYK_MLCv8,Funny
hUFo0FVWjds,Funny
0298WjE3_tk,Angry
0BLuV3MA0qU,Funny
AV8w-7w0cQg,Scary
3Uag9un4rc0,Angry
vukqoE_h6ic,Angry
bBnw5YF61U8,Angry
E65PoMNKpqw,Funny
dFBiTKyxq3o,Sad
hFP1z-1Ck6U,Sad
4IVlF6UleyQ,Happy
NkerP5ni7pE,Scary
Iog_W_VjJko,Scary
WxVbzsNKMoE,Sad
bGK-SP4fI2U,Scary
EeKVLEvpEpo,Angry
05ZnX4gpcTU,Happy
vfsRdOYR3TY,Angry
eJogZRfnpuc,Scary
I3lRfSzQtrM,Sad
Jdbq_W11Wuw,Scary
fnxKrzbH5JQ,Angry
Yl-lWPPEF5k,Funny
fp6CCYdHfA4,Happy
3Bqu2Y8RZq4,Happy
LyTD_2NA5Pc,Sad
NGB04jNtYjc,Sad
tvoyw7Pq9Xg,Scary
ER0yacYOvU0,Sad
8CkOFi2kqTM,Happy
v5AaJRBapHA,Scary
0WH9ssFZctA,Funny
jN_Pyzj6v6M,Happy
VDQ6VJsJhHg,Scary
557G5YW_1SA,Happy
Jqbb2qFWfLg,Happy
0i_STZkmAcs,Happy
eCOd8s-2RZ0,Funny
VUeUTrcoaQo,Happy
aoLTHGgV724,Scary
mNM0FlT-rVg,Scary
XVFeW5G4DdU,Happy
fQ-Vtle0Ngs,Scary
y9PzTjC-4pQ,Funny
PL7aHBKXD64,Happy
Gg3NmW0ivEA,Scary
E2u27gmIXz4,Happy
ZjeImlBw2u0,Sad
MO0chbfpjgI,Scary
ZAu2TtmMhwE,Scary
7oX8vXI8oW8,Angry
ScQrCSb3c-8,Funny
-xhAkzYGv98,Happy
05r1Bm9tfg0,Happy
3SxVuQYpn8U,Sad
3zp_DEVOc1E,Scary
PwAWpKjDA24,Funny
id5ibIqjRto,Angry
V79rAMI1ACw,Sad
84vkmCFhZMA,Sad
tlyhhaWhnpU,Funny
7sYP3mafQQk,Angry
urEdi-YvgO4,Sad
o-wjvTFZaIg,Scary
OFvoRx5mRk0,Angry
xezG1s-XHVk,Sad
3rFCgYXbs70,Angry
HSTW-6Wg0OE,Sad
MbP_wrPJ1WQ,Sad
KKx0MbVJVEA,Sad
qBqfrnqwJfY,Funny
O8EOKETqVLo,Scary
sdyCwCPLpQc,Angry
VGCQyqXiThk,Sad
vOWWHNw9c64,Sad
E1fLUrE9tlo,Scary
DSSebHIDcb8,Funny
g-qv7NsG13Y,Angry
08W-Bdnahlc,Happy
MF0_9ns0lXQ,Sad
rTWhWhrSSUE,Angry
CGqcF-kmdz4,Angry
QMC_U-4F0LY,Scary
KZ87YPXuwDE,Sad
omHz0ax_H2I,Sad
_FPyeOvnV7s,Angry
SqNL6Wm4s-Q,Scary
qZoXRvrkEOc,Sad
TJyzBaMwXFY,Angry
27ULjKOQACc,Sad
X2mHUHD0Skk,Angry
C2bc7BREfvo,Sad
tuxh9TZwoqY,Happy
T_6DvfaTKkw,Sad
qBoYVr6E44s,Scary
Bhz2_bGEaF8,Scary
HLTvg1qKlTQ,Sad
L9AI_nCslZY,Angry
46S04KQzhjM,Angry
ectgeab_gHc,Funny
9yAlkJeKc5c,Scary
0DfJ96OXP2k,Happy
nedJR3sKcoY,Happy
BfjP7e0phG4,Funny
TdZ2ALIqIQs,Scary
b3BQAjZmZis,Scary
1t5tFrEf6xI,Sad
yAR4s_C5PSs,Funny
POoi8YlQu-c,Scary
x6uREyZdqZk,Funny
sMnEEeaoQks,Scary
PFNOEK1PObY,Happy
jO_Pkpy8QeM,Funny
yeH3cNYw3XQ,Happy
2LiUkBuna14,Happy
Dxncl4jwkjE,Angry
JKpvbOsGSYM,Scary
1FpP1binbLA,Sad
BCjBAUIaVBo,Angry
sONmU-yAq-M,Funny
cvxS3Vne708,Scary
jbb43FzDCOY,Sad
W-4zS1zSO34,Funny
iRpNv-dfrQk,Funny
-AAEFswD1r4,Sad
TT-N_X7gxPE,Angry
dGtDg37opic,Funny
1hEzm_Zd5GE,Happy
-8wQV7VJnmM,Happy
ZeTly1YyKYE,Sad
62lF1NDSQiY,Scary
WUEWN3mZWcU,Funny
nRmaWVo9stM,Funny
9JO7UY8LbK4,Funny
6ouPH4c-EmA,Sad
wQry6E1dZd8,Funny
1DvuobWLRog,Angry
TJoerJgq-N8,Funny
jisHhIxZzhM,Scary
DgHSekLY_Dk,Scary
EfgAhoTQFag,Sad
xFHF_1FhtIo,Happy
55vMO5LzMHM,Scary
ZKOFp81y1zE,Sad
